,Task,Time,Performance,Subject
357,Relative,Infinite,0.4166666666666667,4684
358,Pointing,3sec,0.5555555555555556,4684
359,Pointing,Infinite,0.4444444444444444,4684
360,Absolute,3sec,0.4722222222222222,2020
361,Absolute,Infinite,0.5555555555555556,2020
362,Relative,3sec,0.5277777777777778,2020
363,Relative,Infinite,0.4722222222222222,2020
364,Pointing,3sec,0.4722222222222222,2020
365,Pointing,Infinite,0.5,2020
366,Absolute,3sec,0.3888888888888889,7429
367,Absolute,Infinite,0.4722222222222222,7429
368,Relative,3sec,0.5,7429
369,Relative,Infinite,0.6388888888888888,7429
370,Pointing,3sec,0.4444444444444444,7429
371,Pointing,Infinite,0.6111111111111112,7429
372,Absolute,3sec,0.4722222222222222,2592
373,Absolute,Infinite,0.5555555555555556,2592
374,Relative,3sec,0.5277777777777778,2592
375,Relative,Infinite,0.5277777777777778,2592
376,Pointing,3sec,0.6111111111111112,2592
377,Pointing,Infinite,0.5277777777777778,2592
378,Absolute,3sec,0.3333333333333333,4875
379,Absolute,Infinite,0.5555555555555556,4875
380,Relative,3sec,0.6111111111111112,4875
381,Relative,Infinite,0.5555555555555556,4875
382,Pointing,3sec,0.2777777777777778,4875
383,Pointing,Infinite,0.6944444444444444,4875
