,Subject,Time,Task,ReactionTime,Performance
187,3791.0,3sec,Pointing,1.470040532520839,0.4857142857142857
188,3791.0,3sec,Relative,1.379444155428144,0.4166666666666667
189,3791.0,Infinite,Absolute,1.7787021636962905,0.5428571428571428
190,3791.0,Infinite,Pointing,2.8430724210209317,0.6388888888888888
191,3791.0,Infinite,Relative,3.5180640353096866,0.4722222222222222
192,3843.0,3sec,Absolute,2.4389229695002235,0.5666666666666667
193,3843.0,3sec,Pointing,2.1592877892886886,0.5882352941176471
194,3843.0,3sec,Relative,1.7595942484007951,0.5555555555555556
195,3843.0,Infinite,Absolute,2.4389229695002235,0.5666666666666667
196,3843.0,Infinite,Pointing,5.375655062058393,0.5588235294117647
197,3843.0,Infinite,Relative,5.7510427026187685,0.7352941176470589
198,4051.0,3sec,Absolute,2.0747441161762583,0.5757575757575758
199,4051.0,3sec,Pointing,1.8568381141213814,0.23529411764705882
200,4051.0,3sec,Relative,1.7470890706585298,0.5483870967741935
201,4051.0,Infinite,Absolute,2.0747441161762583,0.5757575757575758
202,4051.0,Infinite,Pointing,2.274451904826694,0.4166666666666667
203,4051.0,Infinite,Relative,4.294130285580954,0.5833333333333334
204,4094.0,3sec,Absolute,2.2186887264251713,0.4642857142857143
205,4094.0,3sec,Pointing,1.2415554292740365,0.5483870967741935
206,4094.0,3sec,Relative,1.21786645920046,0.6774193548387096
207,4094.0,Infinite,Absolute,2.2186887264251713,0.4642857142857143
208,4094.0,Infinite,Pointing,5.155244462630326,0.4411764705882353
209,4094.0,Infinite,Relative,2.8793262686048244,0.5142857142857142
210,4199.0,3sec,Absolute,2.019427067892892,0.6571428571428571
211,4199.0,3sec,Pointing,2.0922283308846614,0.5428571428571428
212,4199.0,3sec,Relative,1.8965491687550269,0.6470588235294118
213,4199.0,Infinite,Absolute,2.019427067892892,0.6571428571428571
214,4199.0,Infinite,Pointing,7.728129665056868,0.7666666666666667
215,4199.0,Infinite,Relative,4.869239745601531,0.7419354838709677
216,4230.0,3sec,Absolute,1.8749429975237168,0.45714285714285713
217,4230.0,3sec,Pointing,1.7781384263719833,0.6
218,4230.0,3sec,Relative,1.9088827201298304,0.5714285714285714
219,4230.0,Infinite,Absolute,1.8749429975237168,0.45714285714285713
220,4230.0,Infinite,Pointing,4.58172208070755,0.5833333333333334
221,4230.0,Infinite,Relative,3.482762661245135,0.4444444444444444
222,4420.0,3sec,Absolute,2.2724037745903276,0.4827586206896552
223,4420.0,3sec,Pointing,2.1085541031577373,0.45454545454545453
224,4420.0,3sec,Relative,2.1375982314348225,0.5
225,4420.0,Infinite,Absolute,2.2724037745903276,0.4827586206896552
226,4420.0,Infinite,Pointing,3.846816109286414,0.6388888888888888
227,4420.0,Infinite,Relative,3.598974062336816,0.5277777777777778
